Gender,Duration (s),RMS Energy,ZCR (Zero Crossing Rate),Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Pitch (Fundamental Frequency),MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
Female,1.97125,0.054708216,0.1307333669,1891.127326,1818.681301,4060.105847,162.3394255,-339.7949829,76.05368042,-14.15011787,8.220580101,0.4232675433,-15.34947872,-13.94553566,-0.5571276546,-7.113118172,-3.646790028,-14.20710659,-5.925906181,-20.38446426,-14.7554388,-12.06406784,-0.5900918841,-6.494233608,-1.371575236,-16.26328468,-8.713466644
Female,1.97125,0.047638483,0.1482721144,1839.225204,1715.465947,3727.948589,187.122539,-364.7474976,80.12319183,-25.15240288,0.2364358902,-7.822989941,-21.9645462,-22.72703171,-3.918120861,-5.871588707,-5.794763088,-9.465063095,-6.972621441,-19.06655502,-9.999041557,-13.18939686,1.787231445,-7.223608494,-5.437956333,-10.82788563,-1.749806046
Female,1.97125,0.052362394,0.1095797631,1687.939359,1698.148206,3485.509073,158.8659867,-343.1831665,81.51914215,-17.43938828,7.572259903,-3.134866476,-15.79206371,-14.45794964,-2.858957529,-5.554918289,-2.014741421,-9.309332848,-6.157824993,-16.6582489,-13.04540348,-12.09615803,-5.346363544,-7.524392128,-8.504149437,-14.55493927,-6.622866154
Female,1.97125,0.061942276,0.1109264743,1698.442192,1753.475387,3588.205645,157.9115031,-333.65448,79.36127472,-12.00916004,4.154833317,-0.1575577557,-14.82862568,-12.45294952,-2.653448343,-8.236602783,-5.631884098,-17.15531921,-10.57190514,-20.04518127,-12.69283009,-12.97069931,-3.344518661,-6.730909348,-3.363616943,-9.579351425,-4.67948103
Female,1.792375,0.03025629,0.1772717928,2281.182375,1989.589418,4677.083333,154.5469571,-362.4413757,62.90323639,-5.360357761,-7.146506786,-13.14250851,-19.13842773,-22.86379433,-4.03524065,-11.2554903,3.872382164,-23.76949692,5.330908298,-19.8515377,-13.96078014,-10.70994473,4.698715687,-5.721000195,-2.005529642,-12.10372162,-5.953059196
Female,1.792375,0.030014904,0.1663240132,2323.138116,2059.16345,4850.191886,163.8889813,-352.7985535,61.13413239,-1.021851897,-2.820937395,-3.97416997,-12.52558327,-18.29069519,6.312084198,-8.669103622,2.200047493,-19.59512329,3.951930523,-16.26120567,-15.37656689,-11.54385948,0.5080962777,-11.87307262,-2.04937458,-13.31974602,-5.797692776
Female,1.792375,0.034404118,0.1136753015,1947.855621,1958.081956,4151.315789,145.8015647,-356.4952087,69.41275787,2.008206606,4.616817474,4.085877419,-5.93761301,-7.542833328,6.921043396,-5.76447916,4.162287235,-17.56437874,1.700219393,-14.00231838,-16.94389343,-12.62127399,0.7438957691,-6.88562727,-7.485865593,-14.56778145,-4.483597279
Female,1.792375,0.03054002,0.150390625,2250.733476,2014.260732,4651.452851,158.8778294,-358.7118835,59.05218124,-3.856080055,-1.077485919,-0.8019116521,-10.29795551,-17.9659729,5.784228802,-11.57449913,-0.8158868551,-24.63383675,-1.732047319,-12.83453465,-8.81722641,-13.83341026,1.943309188,-6.186502934,-7.32958889,-14.46862411,-2.756175518
Female,1.792375,0.028955849,0.1618009868,2113.82643,1914.613837,4372.121711,172.1283613,-374.289917,70.58718109,-9.046365738,-11.10223961,-5.737656593,-15.66489029,-22.27324867,3.414015293,-15.05029964,-1.074645162,-18.86005974,-4.917953014,-18.09197044,-14.11247349,-11.00679874,5.731966019,-4.847908497,-12.15043926,-16.00397873,-6.811806202
Female,1.792375,0.033285286,0.1655530428,2176.355065,1933.221157,4392.680921,171.4765747,-354.3301392,61.69165802,-7.742260456,-2.069740534,-3.519560337,-14.92849636,-17.26991844,3.088798761,-12.75131035,1.233665586,-20.25580597,-2.75125742,-17.75235558,-8.726965904,-11.06492329,1.283334136,-8.010699272,-6.161016941,-8.038368225,-4.428094387
Female,1.792375,0.0375719,0.1464672423,2012.890223,1906.322885,4068.119518,160.7989939,-352.056427,67.30432129,5.68564415,2.823496342,-1.933128595,-2.373923779,-13.79965591,-0.1253393143,-14.78899288,0.4591290355,-19.77197075,-5.554841042,-13.49397755,-7.848237038,-12.32039452,1.903992891,-5.639390945,-5.853497028,-5.955748081,-7.85048008
Female,1.6973125,0.032530744,0.1625434028,2176.666721,1983.912376,4697.048611,147.9479956,-316.5229797,62.73861313,-8.806996346,8.338832855,-9.762480736,-15.18827534,-13.74351692,2.917937756,-10.35473728,0.1085876897,-20.63522148,-12.39553261,-26.09847641,-11.30280685,-15.89060879,-2.043279886,-13.4549799,1.871544361,-5.689689159,-3.266364574
Female,1.6973125,0.03224586,0.20010489,2437.519908,2092.633193,5102.430556,162.6696445,-306.513031,50.64361191,-4.176109791,9.803229332,-9.977602005,-13.78580379,-14.92424965,6.545235157,-13.37446308,-2.604081392,-20.89248085,-7.093792915,-19.7400341,-7.914108753,-15.92556095,-0.4298351407,-17.95819473,-3.706692934,-11.33663559,0.7833081484
